slug,url,status,bytes,path
july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment,https://file.pide.org.pk/pdfpideresearch/pv-july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment.pdf,already_present,2391702,pdfs/2026/07/pv-july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment.pdf
protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being,https://file.pide.org.pk/pdfpideresearch/kb-156-protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being.pdf,already_present,9126796,pdfs/2026/07/kb-156-protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being.pdf
digital-literacy-in-pakistan-the-current-state-and-key-challenges,https://file.pide.org.pk/pdfpideresearch/kb-155-digital-literacy-in-pakistan-the-current-state-and-key-challenges.pdf,already_present,1711126,pdfs/2026/07/kb-155-digital-literacy-in-pakistan-the-current-state-and-key-challenges.pdf
understanding-fake-news-and-its-rise-amid-crisis,https://file.pide.org.pk/pdfpideresearch/kb-154-understanding-fake-news-and-its-rise-amid-crisis.pdf,already_present,13331352,pdfs/2026/07/kb-154-understanding-fake-news-and-its-rise-amid-crisis.pdf
automobile-policy-2026-2031-recommendations-from-pide-research,https://file.pide.org.pk/pdfpideresearch/pv-68-automobile-policy-2026-2031-recommendations-from-pide-research.pdf,already_present,4982059,pdfs/2026/07/pv-68-automobile-policy-2026-2031-recommendations-from-pide-research.pdf
capturing-the-middle-east-recovery,https://file.pide.org.pk/pdfpideresearch/pv-67-capturing-the-middle-east-recovery.pdf,already_present,7586350,pdfs/2026/07/pv-67-capturing-the-middle-east-recovery.pdf
managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk,https://file.pide.org.pk/pdfpideresearch/pv-66-managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk.pdf,already_present,1628048,pdfs/2026/07/pv-66-managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk.pdf
media-coverage-pides-policy-viewpoint-on-mobilising-domestic-savings-a-finance-bill-and-institutional-reform-agenda-for-pakistan,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-pides-policy-viewpoint-on-mobilising-domestic-savings-a-finance-bill-and-institutional-reform-agenda-for-pakistan.pdf,already_present,1708468,pdfs/2026/06/pip-media-coverage-pides-policy-viewpoint-on-mobilising-domestic-savings-a-finance-bill-and-institutional-reform-agenda-for-pakistan.pdf
media-coverage-pides-policy-viewpoint-on-reforming-minimum-wage-determination-in-pakistan,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-pides-policy-viewpoint-on-reforming-minimum-wage-determination-in-pakistan.pdf,already_present,975665,pdfs/2026/06/pip-media-coverage-pides-policy-viewpoint-on-reforming-minimum-wage-determination-in-pakistan.pdf
media-coverage-pides-dialogue-on-climate-risk-and-agricultural-output-policy-pathways-for-monsoon-2026-and-beyond,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-pides-dialogue-on-climate-risk-and-agricultural-output-policy-pathways-for-monsoon-2026-and-beyond.pdf,already_present,1011654,pdfs/2026/06/pip-media-coverage-pides-dialogue-on-climate-risk-and-agricultural-output-policy-pathways-for-monsoon-2026-and-beyond.pdf
work-from-home-wfh-challenges-monitoring-and-shared-responsibility,https://file.pide.org.pk/pdfpideresearch/kb-153-work-from-home-wfh-challenges-monitoring-and-shared-responsibility.pdf,already_present,15621987,pdfs/2026/06/kb-153-work-from-home-wfh-challenges-monitoring-and-shared-responsibility.pdf
from-petrodollar-to-petro-yuan-global-macroeconomic-transformation-and-pakistans-economic-stability,https://file.pide.org.pk/pdfpideresearch/kb-152-from-petrodollar-to-petro-yuan-global-macroeconomic-transformation-and-pakistans-economic-stability.pdf,already_present,1381494,pdfs/2026/06/kb-152-from-petrodollar-to-petro-yuan-global-macroeconomic-transformation-and-pakistans-economic-stability.pdf
june-2026-monetary-policy-assessment,https://file.pide.org.pk/pdfpideresearch/pv-june-2026-monetary-policy-assessment.pdf,already_present,2026780,pdfs/2026/06/pv-june-2026-monetary-policy-assessment.pdf
urban-sprawl-and-haphazard-growth-in-karachi-a-reflection-of-poor-urban-planning,https://file.pide.org.pk/pdfpideresearch/kb-151-urban-sprawl-and-haphazard-growth-in-karachi-a-reflection-of-poor-urban-planning.pdf,already_present,4463674,pdfs/2026/06/kb-151-urban-sprawl-and-haphazard-growth-in-karachi-a-reflection-of-poor-urban-planning.pdf
improving-productivity-of-pakistans-economy,https://file.pide.org.pk/pdfpideresearch/pv-65-Improving-Productivity-of-Pakistans-Economy.pdf,already_present,1754314,pdfs/2026/06/pv-65-Improving-Productivity-of-Pakistans-Economy.pdf
the-policy-need-for-behavioral-analyses-theory-methods-and-nudges,https://file.pide.org.pk/pdfpideresearch/wp-26-04-the-policy-need-for-behavioral-analyses-theory-methods-and-nudges.pdf,already_present,1647889,pdfs/2026/06/wp-26-04-the-policy-need-for-behavioral-analyses-theory-methods-and-nudges.pdf
productivity-in-pakistan-trends-and-determinants,https://file.pide.org.pk/pdfpideresearch/kb-150-productivity-in-pakistan-trends-and-determinants.pdf,already_present,3328242,pdfs/2026/06/kb-150-productivity-in-pakistan-trends-and-determinants.pdf
register-to-earn-formalising-the-individual-through-incentives-the-fastest-runway-to-uraan-pakistans-trillion-dollar-economy,https://file.pide.org.pk/pdfpideresearch/pv-164-register-to-earn-formalising-the-individual-through-incentives-the-fastest-runway-to-uraan-pakistans-trillion-dollar-economy.pdf,already_present,5009105,pdfs/2026/06/pv-164-register-to-earn-formalising-the-individual-through-incentives-the-fastest-runway-to-uraan-pakistans-trillion-dollar-economy.pdf
mobilizing-domestic-savings-a-finance-bill-and-institutional-reform-agenda-for-pakistan,https://file.pide.org.pk/pdfpideresearch/pv-163-mobilizing-domestic-savings-a-finance-bill-and-institutional-reform-agenda-for-pakistan.pdf,already_present,9741733,pdfs/2026/06/pv-163-mobilizing-domestic-savings-a-finance-bill-and-institutional-reform-agenda-for-pakistan.pdf
from-net-metering-to-net-billing-tariff-design-and-distribution-sector-stress-in-pakistan,https://file.pide.org.pk/pdfpideresearch/kb-149-from-net-metering-to-net-billing-tariff-design-and-distribution-sector-stress-in-pakistan.pdf,already_present,3841989,pdfs/2026/06/kb-149-from-net-metering-to-net-billing-tariff-design-and-distribution-sector-stress-in-pakistan.pdf
reforming-minimum-wage-determination-in-pakistan-from-wage-announcements-to-wage-governance,https://file.pide.org.pk/pdfpideresearch/pv-162-reforming-minimum-wage-determination-in-pakistan-from-wage-announcements-to-wage-governance.pdf,already_present,8677782,pdfs/2026/06/pv-162-reforming-minimum-wage-determination-in-pakistan-from-wage-announcements-to-wage-governance.pdf
crisis-at-sea-strengthening-port-transparency-to-safeguard-trade-stability,https://file.pide.org.pk/pdfpideresearch/kb-148-crisis-at-sea-strengthening-port-transparency-to-safeguard-trade-stability.pdf,already_present,4342883,pdfs/2026/06/kb-148-crisis-at-sea-strengthening-port-transparency-to-safeguard-trade-stability.pdf
the-eu-india-fta-and-pakistans-export-competitiveness,https://file.pide.org.pk/pdfpideresearch/kb-147-the-eu-india-fta-and-pakistans-export-competitiveness.pdf,already_present,4602256,pdfs/2026/05/kb-147-the-eu-india-fta-and-pakistans-export-competitiveness.pdf
pakistan-and-the-iran-us-conflict,https://file.pide.org.pk/pdfpideresearch/kb-146-pakistan-and-the-iran-us-conflict.pdf,already_present,1050137,pdfs/2026/05/kb-146-pakistan-and-the-iran-us-conflict.pdf
beyond-the-remittance-shock-domestic-layoffs-and-the-coming-unemployment-crisis,https://file.pide.org.pk/pdfpideresearch/kb-145-beyond-the-remittance-shock-domestic-layoffs-and-the-coming-unemployment-crisis.pdf,already_present,2868674,pdfs/2026/05/kb-145-beyond-the-remittance-shock-domestic-layoffs-and-the-coming-unemployment-crisis.pdf
beyond-the-remittance-shock-domestic-layoffs-and-the-coming-unemployment-crisis,https://www.pacra.com/view/storage/app/PACRA%20Research%20-%20Construction%20-%20Apr%2725_1744627880.pdf,external_citation,0,
why-doesnt-industry-grow-structural-barriers-and-policy-failures,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-why-doesnt-industry-grow-structural-barriers-and-policy-failures-bidding-document.pdf,already_present,22731860,pdfs/2026/05/discourse-2026-01-why-doesnt-industry-grow-structural-barriers-and-policy-failures-bidding-document.pdf
protection-without-competition-rethinking-industrial-strategy-in-pakistan,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-01-protection-without-competition-rethinking-industrial-strategy-in-pakistan.pdf,already_present,1070861,pdfs/2026/05/discourse-2026-01-01-protection-without-competition-rethinking-industrial-strategy-in-pakistan.pdf
trade-exports-and-integration-pathways-to-sustainable-economic-growth,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-02-trade-exports-and-integration-pathways-to-sustainable-economic-growth.pdf,already_present,684334,pdfs/2026/05/discourse-2026-01-02-trade-exports-and-integration-pathways-to-sustainable-economic-growth.pdf
how-does-state-capacity-affect-industrial-performance-in-pakistan,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-03-how-does-state-capacity-affect-industrial-performance-in-pakistan.pdf,already_present,892843,pdfs/2026/05/discourse-2026-01-03-how-does-state-capacity-affect-industrial-performance-in-pakistan.pdf
does-pakistans-economy-offer-a-level-playing-field,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-04-does-pakistans-economy-offer-a-level-playing-field.pdf,already_present,1050468,pdfs/2026/05/discourse-2026-01-04-does-pakistans-economy-offer-a-level-playing-field.pdf
does-pakistans-economy-offer-a-level-playing-field,https://cc.gov.pk/assets/images/Downloads/competitionn_act_2010.pdf,external_citation,0,
pakistans-regulatory-quagmire-an-analysis-of-the-world-banks-b-ready-assessment,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-05-pakistans-regulatory-quagmire-an-analysis-of-the-world-banks-b-ready-assessment.pdf,already_present,482037,pdfs/2026/05/discourse-2026-01-05-pakistans-regulatory-quagmire-an-analysis-of-the-world-banks-b-ready-assessment.pdf
industrial-policy-at-a-crossroads-why-pakistan-must-shift-from-protection-to-comparative-advantage,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-06-industrial-policy-at-a-crossroads.pdf,already_present,1649951,pdfs/2026/05/discourse-2026-01-06-industrial-policy-at-a-crossroads.pdf
the-industrial-imperative-in-pakistan-choosing-between-a-trading-shop-and-a-global-factory,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-07-the-industrial-imperative-in-pakistan-choosing-between-a-trading-shop-and-a-global-factory.pdf,already_present,1512271,pdfs/2026/05/discourse-2026-01-07-the-industrial-imperative-in-pakistan-choosing-between-a-trading-shop-and-a-global-factory.pdf
why-pakistani-industry-does-not-upgrade-lessons-from-the-firm-level-evidence,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-08-why-pakistani-industry-does-not-upgrade-lessons-from-the-firm-level-evidence.pdf,already_present,774263,pdfs/2026/05/discourse-2026-01-08-why-pakistani-industry-does-not-upgrade-lessons-from-the-firm-level-evidence.pdf
greshams-law-of-scholarship-and-the-political-economy-of-rd-in-pakistan,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-09-greshams-law-of-scholarship-and-the-political-economy-of-rd-in-pakistan.pdf,already_present,1230784,pdfs/2026/05/discourse-2026-01-09-greshams-law-of-scholarship-and-the-political-economy-of-rd-in-pakistan.pdf
greshams-law-of-scholarship-and-the-political-economy-of-rd-in-pakistan,https://www.hec.gov.pk/english/services/faculty/journals/Documents/List%20of%20national%20journals%202024-25.pdf,external_citation,0,
productivity-the-missing-link-in-pakistans-export-ambitions,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-10-productivity-the-missing-link-in-pakistans-export-ambitions.pdf,already_present,261435,pdfs/2026/05/discourse-2026-01-10-productivity-the-missing-link-in-pakistans-export-ambitions.pdf
when-revenuecracy-out-taxes-export-growth,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-11-when-revenuecracy-out-taxes-export-growth.pdf,already_present,276927,pdfs/2026/05/discourse-2026-01-11-when-revenuecracy-out-taxes-export-growth.pdf
when-revenuecracy-out-taxes-export-growth,https://download1.fbr.gov.pk/Docs/2024630146346801FinanceAct-2024.pdf,external_citation,0,
when-revenuecracy-out-taxes-export-growth,https://download1.fbr.gov.pk/Docs/2026226162211364IncomeTaxOrdinance2001-Amended-20.02.2026.pdf,external_citation,0,
the-energy-trap-how-pricing-reliability-and-volatility-are-stalling-industrial-expansion,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-12-the-energy-trap-how-pricing-reliability-and-volatility-are-stalling-industrial-expansion.pdf,already_present,957969,pdfs/2026/05/discourse-2026-01-12-the-energy-trap-how-pricing-reliability-and-volatility-are-stalling-industrial-expansion.pdf
the-energy-trap-how-pricing-reliability-and-volatility-are-stalling-industrial-expansion,https://nepra.org.pk/tariff/Tariff/Ex-WAPDA%20DISCOS/2024/TRF-100%20XWDISCOS%20and%20KE%20REVIEW%20MOTION%20CONSUMER%20END%20TARIFF%2011-07-2024%2010607-26.PDF,external_citation,0,
the-energy-trap-how-pricing-reliability-and-volatility-are-stalling-industrial-expansion,https://www.nepra.org.pk/tariff/Tariff/Notifications/2025/07%20Jul/SRO%201287%20(I)%202025%2018-07-2025.pdf,external_citation,0,
energy-economy-nexus-for-industrialization-in-the-age-of-geopolitical-crisis,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-13-energy-economy-nexus-for-industrialization-in-the-age-of-geopolitical-crisis.pdf,already_present,3028472,pdfs/2026/05/discourse-2026-01-13-energy-economy-nexus-for-industrialization-in-the-age-of-geopolitical-crisis.pdf
why-does-our-trade-not-grow-how-pakistan-and-vietnam-diverged-in-participation-in-global-value-chains,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-14-why-does-our-trade-not-grow-how-pakistan-and-vietnam-diverged-in-participation-in-global-value-chains.pdf,already_present,2039305,pdfs/2026/05/discourse-2026-01-14-why-does-our-trade-not-grow-how-pakistan-and-vietnam-diverged-in-participation-in-global-value-chains.pdf
tax-expenditures-in-pakistan-business-facilitation-to-fiscal-burden,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-15-tax-expenditures-in-pakistan-business-facilitation-to-fiscal-burden.pdf,already_present,2390905,pdfs/2026/05/discourse-2026-01-15-tax-expenditures-in-pakistan-business-facilitation-to-fiscal-burden.pdf
property-rights-and-land-titling-unlocking-the-credit-pipeline-for-industrial-growth-in-pakistan,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-16-property-rights-and-land-titling-unlocking-the-credit-pipeline-for-industrial-growth-in-pakistan.pdf,already_present,1445064,pdfs/2026/05/discourse-2026-01-16-property-rights-and-land-titling-unlocking-the-credit-pipeline-for-industrial-growth-in-pakistan.pdf
digital-exports-analog-policies-barriers-to-pakistans-services-trade-and-global-integration,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-17-digital-exports-analog-policies-barriers-to-pakistans-services-trade-and-global-integration.pdf,already_present,1137041,pdfs/2026/05/discourse-2026-01-17-digital-exports-analog-policies-barriers-to-pakistans-services-trade-and-global-integration.pdf
digital-exports-analog-policies-barriers-to-pakistans-services-trade-and-global-integration,https://www.commerce.gov.pk/wp-content/uploads/2024/07/Final-STPF-2020-25.pdf,external_citation,0,
digital-exports-analog-policies-barriers-to-pakistans-services-trade-and-global-integration,https://pakistan.accountabilitylab.org/wp-content/uploads/2024/09/Policy-Brief-21st-Century-Employability-Skills.pdf,external_citation,0,
exploring-the-untapped-potential-of-the-dairy-sector-to-enhance-exports,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-18-exploring-the-untapped-potential-of-the-dairy-sector-to-enhance-exports.pdf,already_present,1732670,pdfs/2026/05/discourse-2026-01-18-exploring-the-untapped-potential-of-the-dairy-sector-to-enhance-exports.pdf
pakistans-balance-of-payments-constrained-growth-towards-export-led-production,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-19-pakistans-balance-of-payments-constrained-growth-towards-export-led-production.pdf,already_present,752798,pdfs/2026/05/discourse-2026-01-19-pakistans-balance-of-payments-constrained-growth-towards-export-led-production.pdf
talent-skills-and-competitiveness-where-pakistan-stands-in-gtci-2025,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-20-talent-skills-and-competitiveness-where-pakistan-stands-in-gtci-2025.pdf,already_present,1480622,pdfs/2026/05/discourse-2026-01-20-talent-skills-and-competitiveness-where-pakistan-stands-in-gtci-2025.pdf
a-dual-migration-strategy-for-pakistan,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-21-a-dual-migration-strategy-for-pakistan.pdf,already_present,472284,pdfs/2026/05/discourse-2026-01-21-a-dual-migration-strategy-for-pakistan.pdf
industrial-policy-in-pakistan,https://file.pide.org.pk/pdfpideresearch/discourse-2026-01-22-industrial-policy-in-pakistan.pdf,already_present,1849543,pdfs/2026/05/discourse-2026-01-22-industrial-policy-in-pakistan.pdf
media-coverage-pide-seminar-economics-of-war-and-interdependencies-iran-pakistan-and-the-middle-east,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-pide-seminar-economics-of-war-and-interdependencies-iran-pakistan-and-the-middle-east.pdf,already_present,700185,pdfs/2026/05/pip-media-coverage-pide-seminar-economics-of-war-and-interdependencies-iran-pakistan-and-the-middle-east.pdf
media-coverage-hold-the-policy-rate-at-10-5-percent-on-27-april-2026,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-hold-the-policy-rate-at-10-5-percent-on-27-april-2026.pdf,already_present,670526,pdfs/2026/05/pip-media-coverage-hold-the-policy-rate-at-10-5-percent-on-27-april-2026.pdf
iran-us-israel-conflict-induced-austerity-measures-in-pakistan-savings-accrued-costs-incurred,https://file.pide.org.pk/pdfpideresearch/pv-61-iran-us-israel-conflict-induced-austerity-measures-in-pakistan-savings-accrued-costs-incurred.pdf,already_present,1591462,pdfs/2026/04/pv-61-iran-us-israel-conflict-induced-austerity-measures-in-pakistan-savings-accrued-costs-incurred.pdf
road-safety-in-pakistan-a-critical-analysis-of-the-national-road-safety-strategy,https://file.pide.org.pk/pdfpideresearch/kb-144-road-safety-in-pakistan-a-critical-analysis-of-the-national-road-safety-strategy.pdf,already_present,2607347,pdfs/2026/04/kb-144-road-safety-in-pakistan-a-critical-analysis-of-the-national-road-safety-strategy.pdf
hold-the-policy-rate-at-10-5-percent-on-27-april-2026-why-war-driven-supply-risks-now-outweigh-the-case-for-further-easing,https://file.pide.org.pk/pdfpideresearch/pv-160-hold-the-policy-rate-at-10-5-percent-on-27-april-2026.pdf,already_present,14356665,pdfs/2026/04/pv-160-hold-the-policy-rate-at-10-5-percent-on-27-april-2026.pdf
shrinking-the-shadow-economy-how-financial-inclusion-can-shrink-the-shadow-economy,https://file.pide.org.pk/pdfpideresearch/kb-143-shrinking-the-shadow-economy-how-financial-inclusion-can-shrink-the-shadow-economy.pdf,already_present,2217495,pdfs/2026/04/kb-143-shrinking-the-shadow-economy-how-financial-inclusion-can-shrink-the-shadow-economy.pdf
pakistan-after-the-ceasefire-gains-vulnerabilities-and-the-policy-agenda,https://file.pide.org.pk/pdfpideresearch/pv-59-pakistan-after-the-ceasefire-gains-vulnerabilities-and-the-policy-agenda.pdf,already_present,4974842,pdfs/2026/04/pv-59-pakistan-after-the-ceasefire-gains-vulnerabilities-and-the-policy-agenda.pdf
a-critical-path-to-fiscal-federalism-policy-imperatives-for-the-nfc-award-remake,https://file.pide.org.pk/pdfpideresearch/wp-26-03-a-critical-path-to-fiscal-federalism-policy-imperatives-for-the-nfc-award-remake.pdf,already_present,1967944,pdfs/2026/04/wp-26-03-a-critical-path-to-fiscal-federalism-policy-imperatives-for-the-nfc-award-remake.pdf
capitalizing-on-conflict-reimagining-the-ports-of-pakistan-amid-gulf-war,https://file.pide.org.pk/pdfpideresearch/pv-58-capitalizing-on-conflict-reimagining-the-ports-of-pakistan-amid-gulf-war.pdf,already_present,26465382,pdfs/2026/04/pv-58-capitalizing-on-conflict-reimagining-the-ports-of-pakistan-amid-gulf-war.pdf
from-the-strait-of-hormuz-to-the-psx-what-the-iran-israel-war-reveals-about-pakistans-economic-vulnerability,https://file.pide.org.pk/pdfpideresearch/pv-57-from-the-strait-of-hormuz-to-the-psx.pdf,already_present,4601053,pdfs/2026/04/pv-57-from-the-strait-of-hormuz-to-the-psx.pdf
balochistans-skills-gap-and-cpec-job-potential-a-human-capital-assessment,https://file.pide.org.pk/pdfpideresearch/kb-142-balochistans-skills-gap-and-cpec-job-potential-a-human-capital-assessment.pdf,already_present,4775689,pdfs/2026/04/kb-142-balochistans-skills-gap-and-cpec-job-potential-a-human-capital-assessment.pdf
media-coverage-world-oil-price-volatility-middle-east-geopolitics-and-pakistans-inflation-dynamics,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-world-oil-price-volatility.pdf,already_present,563953,pdfs/2026/04/pip-media-coverage-world-oil-price-volatility.pdf
media-coverage-what-happens-when-women-suddenly-stop-receiving-cash-transfers,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-what-happens-when-women-suddenly-stop-receiving-cash-transfers.pdf,already_present,134002,pdfs/2026/04/pip-media-coverage-what-happens-when-women-suddenly-stop-receiving-cash-transfers.pdf
media-coverage-pakistans-exposure-to-a-strait-of-hormuz-shock,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-pakistans-exposure-to-a-strait-of-hormuz-shock.pdf,already_present,192293,pdfs/2026/04/pip-media-coverage-pakistans-exposure-to-a-strait-of-hormuz-shock.pdf
media-coverage-the-middle-east-crisis-impact-on-pakistans-trade,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-middle-east-crise-impact-on-pakistans-trade.pdf,already_present,566360,pdfs/2026/04/pip-media-coverage-middle-east-crise-impact-on-pakistans-trade.pdf
media-coverage-the-middle-east-conflict-and-its-implications-for-pakistani-migrant-workers,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-middle-east-conflict.pdf,already_present,945977,pdfs/2026/04/pip-media-coverage-middle-east-conflict.pdf
media-coverage-managing-oil-shocks-pakistans-fiscal-risks-and-policy-choices,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-managing-oil-shocks.pdf,already_present,833649,pdfs/2026/04/pip-media-coverage-managing-oil-shocks.pdf
media-coverage-economic-fallout-the-eu-india-free-trade-agreement-and-pakistans-trade-vulnerability,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-economic-fallout.pdf,already_present,512348,pdfs/2026/04/pip-media-coverage-economic-fallout.pdf
anthropology-in-or-of-development-on-tracing-pragmatic-relevance-of-anthropology-in-development-studies,https://file.pide.org.pk/pdfpideresearch/kb-141-anthropology-in-or-of-development-on-tracing-pragmatic-relevance-of-anthropology-in-development-studies.pdf,already_present,4749257,pdfs/2026/03/kb-141-anthropology-in-or-of-development-on-tracing-pragmatic-relevance-of-anthropology-in-development-studies.pdf
the-middle-east-crisis-impact-on-pakistans-trade,https://file.pide.org.pk/pdfpideresearch/pv-56-the-middle-east-crisis-impact-on-pakistans-trade.pdf,already_present,3286245,pdfs/2026/03/pv-56-the-middle-east-crisis-impact-on-pakistans-trade.pdf
the-middle-east-crisis-impact-on-pakistans-trade,https://file.pide.org.pk/uploads/https://file.pide.org.pk/pdfpideresearch/pv-56-the-middle-east-crisis-impact-on-pakistans-trade.pdf,already_present,3286245,pdfs/2026/03/pv-56-the-middle-east-crisis-impact-on-pakistans-trade.pdf
managing-oil-shocks-pakistans-fiscal-risks-and-policy-choices,https://file.pide.org.pk/pdfpideresearch/pv-55-managing-oil-shocks-pakistans-fiscal-risks-and-policy-choices.pdf,already_present,10771393,pdfs/2026/03/pv-55-managing-oil-shocks-pakistans-fiscal-risks-and-policy-choices.pdf
the-middle-east-conflict-and-its-implications-for-pakistani-migrant-workers,https://file.pide.org.pk/pdfpideresearch/pv-54-the-middle-east-conflict-and-its-implications-for-pakistani-migrant-workers.pdf,already_present,853172,pdfs/2026/03/pv-54-the-middle-east-conflict-and-its-implications-for-pakistani-migrant-workers.pdf
pakistans-exposure-to-a-strait-of-hormuz-shock-fuel-pricing-inflation-and-external-vulnerability,https://file.pide.org.pk/pdfpideresearch/wp-26-02-pakistans-exposure-to-a-strait-of-hormuz-shock-fuel-pricing-inflation-and-external-vulnerability.pdf,already_present,1685933,pdfs/2026/03/wp-26-02-pakistans-exposure-to-a-strait-of-hormuz-shock-fuel-pricing-inflation-and-external-vulnerability.pdf
