slug,title,date,month,year,category,sub_category,authors,keywords,jel_codes,page_url,pdf_url,extra_pdf_urls,cited_external_pdfs,pdf_path,fulltext_path,word_count
five-years-on-taliban-has-territory-but-not-sovereignty,"Five years on, Taliban has territory but not sovereignty",2026-08-15,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/five-years-on-taliban-has-territory-but-not-sovereignty/,,,,,,0
when-diplomacy-wears-a-uniform-asim-munirs-harder-test-after-the-makkah-defence-pact,When Diplomacy Wears a Uniform: Asim Munir’s Harder Test After the Makkah Defence Pact,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/when-diplomacy-wears-a-uniform-asim-munirs-harder-test-after-the-makkah-defence-pact/,,,,,,0
pakistans-tomato-price-surge,Pakistan’s Tomato price surge,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Inayat Ullah,,,https://pide.org.pk/research/pakistans-tomato-price-surge/,,,,,,0
mineral-corridor-from-mines-to-manufacturing-i,‘Mineral Corridor’: from mines to manufacturing – I,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Saqib Ur Rehman Mughal,,,https://pide.org.pk/research/mineral-corridor-from-mines-to-manufacturing-i/,,,,,,0
inclusion-before-enforcement,Inclusion before enforcement,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Usama Abdul Rauf,,,https://pide.org.pk/research/inclusion-before-enforcement/,,,,,,0
gwadars-real-challenge-is-not-geography-its-shipping-lines,Gwadar’s real challenge is not geography—it’s shipping lines,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Mujtaba Arshad,,,https://pide.org.pk/research/gwadars-real-challenge-is-not-geography-its-shipping-lines/,,,,,,0
from-corridors-to-commerce,From Corridors to Commerce,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Ahmad Jamal Wattoo,,,https://pide.org.pk/research/from-corridors-to-commerce/,,,,,,0
from-connectivity-to-competitiveness,From Connectivity To Competitiveness,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Rafia Ali,,,https://pide.org.pk/research/from-connectivity-to-competitiveness/,,,,,,0
abraham-offered-normalisation-makkah-offers-security,Abraham offered normalisation. Makkah offers security,2026-08-14,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/abraham-offered-normalisation-makkah-offers-security/,,,,,,0
shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk,Shrimp Aquaculture as Pakistan’s Next Blue Economy Opportunity: Lessons from Dhabeji Farm,2026-08-13,2026-08,2026,Knowledge Brief,Recent Publications; Knowledge Brief,Usama Abdul Rauf; Saima Perveen,,,https://pide.org.pk/research/shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk/,https://file.pide.org.pk/pdfpideresearch/kb-160-shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk.pdf,,,pdfs/2026/08/kb-160-shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk.pdf,data/fulltext/shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk.txt,1335
beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt,Beyond Raw Exports: Capturing Value from Pakistan’s Himalayan Pink Salt,2026-08-11,2026-08,2026,Policy Viewpoint,Recent Publications; Policy Viewpoint,Nisar Ali,,,https://pide.org.pk/research/beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt/,https://file.pide.org.pk/pdfpideresearch/pv-69-beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt.pdf,,,pdfs/2026/08/pv-69-beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt.pdf,data/fulltext/beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt.txt,1253
the-generation-no-party-owns-what-indias-gen-z-revolt-could-become,The Generation No Party Owns: What India’s Gen Z Revolt Could Become,2026-08-10,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/the-generation-no-party-owns-what-indias-gen-z-revolt-could-become/,,,,,,0
india-china-thaw-is-a-supply-chain-truce-not-a-strategic-reset,"India-China thaw is a supply-chain truce, not a strategic reset",2026-08-10,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/india-china-thaw-is-a-supply-chain-truce-not-a-strategic-reset/,,,,,,0
decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis,Decoding Joblessness in Pakistan: A Generational and Temporal Analysis,2026-08-10,2026-08,2026,Working Paper,Recent Publications; Working Paper,Henna Ahsan; Amena Urooj,,,https://pide.org.pk/research/decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis/,https://file.pide.org.pk/pdfpideresearch/wp-26-06-decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis.pdf,,,pdfs/2026/08/wp-26-06-decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis.pdf,data/fulltext/decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis.txt,2216
corporate-digital-leap,Corporate digital leap,2026-08-10,2026-08,2026,PIDE in Press,PIDE in Press,Farhat Mahmood,,,https://pide.org.pk/research/corporate-digital-leap/,,,,,,0
climate-disaster-risk-reduction,Climate disaster risk reduction,2026-08-10,2026-08,2026,PIDE in Press,PIDE in Press,Anjeela Khurram,,,https://pide.org.pk/research/climate-disaster-risk-reduction/,,,,,,0
afghanistan-cannot-fight-hunger-while-sheltering-the-ttp,Afghanistan Cannot Fight Hunger While Sheltering the TTP,2026-08-10,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/afghanistan-cannot-fight-hunger-while-sheltering-the-ttp/,,,,,,0
why-pakistan-must-rethink-decision-making,Why Pakistan must rethink decision-making,2026-08-04,2026-08,2026,PIDE in Press,PIDE in Press,Maryam Hafeez,,,https://pide.org.pk/research/why-pakistan-must-rethink-decision-making/,,,,,,0
walking-the-tightrope-between-tehran-and-riyadh,Walking the tightrope between Tehran and Riyadh,2026-08-04,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/walking-the-tightrope-between-tehran-and-riyadh/,,,,,,0
agriculture-waters-cycle-of-debt-and-poverty,Agriculture: Water’s cycle of debt and poverty,2026-08-04,2026-08,2026,PIDE in Press,PIDE in Press,Abida Naurin,,,https://pide.org.pk/research/agriculture-waters-cycle-of-debt-and-poverty/,,,,,,0
the-hidden-cost-of-a-litre,The hidden cost of a litre,2026-08-03,2026-08,2026,PIDE in Press,PIDE in Press,Abida Naurin,,,https://pide.org.pk/research/the-hidden-cost-of-a-litre/,,,,,,0
the-economy-pakistan-forgot-to-measure,The economy Pakistan forgot to measure,2026-08-03,2026-08,2026,PIDE in Press,PIDE in Press,Nabila Kunwal,,,https://pide.org.pk/research/the-economy-pakistan-forgot-to-measure/,,,,,,0
promise-without-protection,Promise without protection,2026-07-30,2026-07,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/promise-without-protection/,,,,,,0
pakistans-fintech-landscape,Pakistan’s fintech landscape,2026-07-30,2026-07,2026,PIDE in Press,PIDE in Press,Muhammad Yasir,,,https://pide.org.pk/research/pakistans-fintech-landscape/,,,,,,0
completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop,Completing Pakistan’s White Oil Pipeline Backbone: Promise and Risks of MTT-WOP,2026-07-30,2026-07,2026,Knowledge Brief,Recent Publications; Knowledge Brief,Bilal Aftab,,,https://pide.org.pk/research/completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop/,https://file.pide.org.pk/pdfpideresearch/kb-159-completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop.pdf,,,pdfs/2026/07/kb-159-completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop.pdf,data/fulltext/completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop.txt,2592
beyond-a-muslim-nato-pakistan-and-the-middle-easts-emerging-security-order,Beyond a ‘Muslim NATO’: Pakistan and the Middle East’s Emerging Security Order,2026-07-30,2026-07,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/beyond-a-muslim-nato-pakistan-and-the-middle-easts-emerging-security-order/,,,,,,0
from-dust-to-dollars,From Dust to Dollars,2026-07-29,2026-07,2026,PIDE in Press,PIDE in Press,Fareed Kakar,,,https://pide.org.pk/research/from-dust-to-dollars/,,,,,,0
an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan,An Analysis of the Determinants of National Savings and Total Investment in Pakistan,2026-07-29,2026-07,2026,Working Paper,Recent Publications; Working Paper,Farhat Mahmood; Saud Ahmed Khan,,,https://pide.org.pk/research/an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan/,https://file.pide.org.pk/pdfpideresearch/wp-26-05-an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan.pdf,,,pdfs/2026/07/wp-26-05-an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan.pdf,data/fulltext/an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan.txt,1812
u-s-iran-truce-under-pressure-as-fresh-attacks-fuel-fears-of-wider-gulf-conflict,U.S.–Iran Truce Under Pressure as Fresh Attacks Fuel Fears of Wider Gulf Conflict,2026-07-28,2026-07,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/u-s-iran-truce-under-pressure-as-fresh-attacks-fuel-fears-of-wider-gulf-conflict/,,,,,,0
pakistans-only-choice-is-active-neutrality-in-us-iran-war,Pakistan’s only choice is active neutrality in US-Iran war,2026-07-28,2026-07,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/pakistans-only-choice-is-active-neutrality-in-us-iran-war/,,,,,,0
managing-population,Managing population,2026-07-28,2026-07,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/managing-population/,,,,,,0
from-colombo-to-islamabad-a-generation-judges-governments-by-results-not-rhetoric,"From Colombo To Islamabad: A Generation Judges Governments By Results, Not Rhetoric",2026-07-28,2026-07,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/from-colombo-to-islamabad-a-generation-judges-governments-by-results-not-rhetoric/,,,,,,0
energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan,"Energy Transition: What It Means, What the Evidence Shows, and What It Implies for Pakistan",2026-07-28,2026-07,2026,Knowledge Brief,Recent Publications; Knowledge Brief,Shahzada M. Naeem Nawaz,,,https://pide.org.pk/research/energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan/,https://file.pide.org.pk/pdfpideresearch/kb-158-energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan.pdf,,,pdfs/2026/07/kb-158-energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan.pdf,data/fulltext/energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan.txt,2462
cpec-2-0-and-pakistans-digital-future-from-infrastructure-to-innovation,CPEC 2.0 and Pakistan’s digital future: From infrastructure to innovation,2026-07-28,2026-07,2026,PIDE in Press,PIDE in Press,Eeman Taimur,,,https://pide.org.pk/research/cpec-2-0-and-pakistans-digital-future-from-infrastructure-to-innovation/,,,,,,0
ai-enabled-public-governance,AI-enabled public governance,2026-07-28,2026-07,2026,PIDE in Press,PIDE in Press,Shamaila Zareen,,,https://pide.org.pk/research/ai-enabled-public-governance/,,,,,,0
stalled-transitions-constrained-choices-evidence-from-hies-2024-25-and-the-conditions-for-pakistans-demographic-dividend,"Stalled Transitions, Constrained Choices: Evidence from HIES 2024–25 and the Conditions for Pakistan’s Demographic Dividend",2026-07-27,2026-07,2026,Knowledge Brief,Recent Publications; Knowledge Brief,Saima Bashir,,,https://pide.org.pk/research/stalled-transitions-constrained-choices-evidence-from-hies-2024-25-and-the-conditions-for-pakistans-demographic-dividend/,https://file.pide.org.pk/pdfpideresearch/kb-157-stalled-transitions-constrained-choices.pdf,,,pdfs/2026/07/kb-157-stalled-transitions-constrained-choices.pdf,data/fulltext/stalled-transitions-constrained-choices-evidence-from-hies-2024-25-and-the-conditions-for-pakistans-demographic-dividend.txt,3877
july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment,"July 2026 Monetary Policy Assessment: Market Expectations, Macroeconomic Conditions and Policy Assessment",2026-07-25,2026-07,2026,Research Reports,Recent Publications; Research Report,PIDE,,,https://pide.org.pk/research/july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment/,https://file.pide.org.pk/pdfpideresearch/pv-july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment.pdf,,,pdfs/2026/07/pv-july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment.pdf,data/fulltext/july-2026-monetary-policy-assessment-market-expectations-macroeconomic-conditions-and-policy-assessment.txt,988
protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being,Protecting Developing Minds in the Digital Age: A Bibliometric Analysis of Mobile Phone Use and Child Well-Being,2026-07-24,2026-07,2026,Knowledge Brief,Recent Publications; Knowledge Brief,Eman Qadeer,,,https://pide.org.pk/research/protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being/,https://file.pide.org.pk/pdfpideresearch/kb-156-protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being.pdf,,,pdfs/2026/07/kb-156-protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being.pdf,data/fulltext/protecting-developing-minds-in-the-digital-age-a-bibliometric-analysis-of-mobile-phone-use-and-child-well-being.txt,4499
protection-for-small-savers-flexibility-for-large-deposits,"Protection for small savers, flexibility for large deposits",2026-07-22,2026-07,2026,PIDE in Press,PIDE in Press,Hafsa Hina,,,https://pide.org.pk/research/protection-for-small-savers-flexibility-for-large-deposits/,,,,,,0
unaccounted-gas-unacceptable-losses,"Unaccounted Gas, Unacceptable Losses",2026-07-21,2026-07,2026,PIDE in Press,PIDE in Press,Bilal Aftab,,,https://pide.org.pk/research/unaccounted-gas-unacceptable-losses/,,,,,,0
digital-literacy-in-pakistan-the-current-state-and-key-challenges,Digital Literacy in Pakistan: The Current State and Key Challenges,2026-07-21,2026-07,2026,Knowledge Brief,Recent Publications; Knowledge Brief,Maryam Hafeez,,,https://pide.org.pk/research/digital-literacy-in-pakistan-the-current-state-and-key-challenges/,https://file.pide.org.pk/pdfpideresearch/kb-155-digital-literacy-in-pakistan-the-current-state-and-key-challenges.pdf,,,pdfs/2026/07/kb-155-digital-literacy-in-pakistan-the-current-state-and-key-challenges.pdf,data/fulltext/digital-literacy-in-pakistan-the-current-state-and-key-challenges.txt,1976
a-changing-role-of-cpec-2-0-in-pakistans-financial-and-external-sectors,A changing role of CPEC 2.0 in Pakistan’s financial and external sectors,2026-07-20,2026-07,2026,PIDE in Press,PIDE in Press,Eeman Taimur; Syed Hasanat Shah,,,https://pide.org.pk/research/a-changing-role-of-cpec-2-0-in-pakistans-financial-and-external-sectors/,,,,,,0
understanding-fake-news-and-its-rise-amid-crisis,Understanding Fake News and Its Rise Amid Crisis,2026-07-17,2026-07,2026,Knowledge Brief,Recent Publications; Knowledge Brief,Fizzah Khalid Butt,,,https://pide.org.pk/research/understanding-fake-news-and-its-rise-amid-crisis/,https://file.pide.org.pk/pdfpideresearch/kb-154-understanding-fake-news-and-its-rise-amid-crisis.pdf,,,pdfs/2026/07/kb-154-understanding-fake-news-and-its-rise-amid-crisis.pdf,data/fulltext/understanding-fake-news-and-its-rise-amid-crisis.txt,2478
the-hormuz-trap,The Hormuz trap,2026-07-17,2026-07,2026,PIDE in Press,PIDE in Press,Mehwish Mumtaz,,,https://pide.org.pk/research/the-hormuz-trap/,,,,,,0
column-bridging-great-governance-gap-for-shared-prosperity-in-interconnected-world,Column: Bridging great governance gap for shared prosperity in interconnected world,2026-07-17,2026-07,2026,PIDE in Press,PIDE in Press,Muhammad Nadeem Javaid,,,https://pide.org.pk/research/column-bridging-great-governance-gap-for-shared-prosperity-in-interconnected-world/,,,,,,0
the-real-imf-strategy-lies-in-production-not-financing,"The Real IMF Strategy Lies in Production, Not Financing",2026-07-16,2026-07,2026,PIDE in Press,PIDE in Press,,,,https://pide.org.pk/research/the-real-imf-strategy-lies-in-production-not-financing/,,,,,,0
automobile-policy-2026-2031-recommendations-from-pide-research,Automobile Policy 2026–2031: Recommendations from PIDE Research,2026-07-16,2026-07,2026,Policy Viewpoint,Recent Publications; Policy Viewpoint,Mohammad Shaaf Najib; Usman Qadir,,,https://pide.org.pk/research/automobile-policy-2026-2031-recommendations-from-pide-research/,https://file.pide.org.pk/pdfpideresearch/pv-68-automobile-policy-2026-2031-recommendations-from-pide-research.pdf,,,pdfs/2026/07/pv-68-automobile-policy-2026-2031-recommendations-from-pide-research.pdf,data/fulltext/automobile-policy-2026-2031-recommendations-from-pide-research.txt,1754
from-lng-to-thar-rethinking-pakistans-energy-transition,From LNG to Thar: rethinking Pakistan’s energy transition,2026-07-15,2026-07,2026,PIDE in Press,PIDE in Press,Rubina Ilyas,,,https://pide.org.pk/research/from-lng-to-thar-rethinking-pakistans-energy-transition/,,,,,,0
saving-less-growing-less,"Saving less, growing less",2026-07-14,2026-07,2026,PIDE in Press,PIDE in Press,Rafia Ali,,,https://pide.org.pk/research/saving-less-growing-less/,,,,,,0
pide-in-press,PIDE in Press,2026-07-14,2026-07,2026,PIDE in Press,PIDE in Press,,,,https://pide.org.pk/research/pide-in-press/,,,,,,0
corporate-window-ifrs-exemption-for-energy-soes,CORPORATE WINDOW: IFRS exemption for energy SOEs,2026-07-14,2026-07,2026,PIDE in Press,PIDE in Press,Ahmad Fraz,,,https://pide.org.pk/research/corporate-window-ifrs-exemption-for-energy-soes/,,,,,,0
chasing-100bn-exports,Chasing $100bn exports,2026-07-14,2026-07,2026,PIDE in Press,PIDE in Press,Junaid Ahmed; Wajid Islam,,,https://pide.org.pk/research/chasing-100bn-exports/,,,,,,0
capturing-the-middle-east-recovery,Capturing the Middle East Recovery,2026-07-14,2026-07,2026,Policy Viewpoint,Recent Publications; Policy Viewpoint,Nasir Iqbal,,,https://pide.org.pk/research/capturing-the-middle-east-recovery/,https://file.pide.org.pk/pdfpideresearch/pv-67-capturing-the-middle-east-recovery.pdf,,,pdfs/2026/07/pv-67-capturing-the-middle-east-recovery.pdf,data/fulltext/capturing-the-middle-east-recovery.txt,2328
managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk,"Managing Pakistan’s RLNG Exposure: Declining Dispatch, Rising Financial Risk",2026-07-13,2026-07,2026,Policy Viewpoint,Recent Publications; Policy Viewpoint,Rubina Ilyas,,,https://pide.org.pk/research/managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk/,https://file.pide.org.pk/pdfpideresearch/pv-66-managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk.pdf,,,pdfs/2026/07/pv-66-managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk.pdf,data/fulltext/managing-pakistans-rlng-exposure-declining-dispatch-rising-financial-risk.txt,1350
sovereignty-doesnt-end-at-the-rivers-edge,Sovereignty doesn’t end at the river’s edge,2026-07-11,2026-07,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/sovereignty-doesnt-end-at-the-rivers-edge/,,,,,,0
the-electric-lane-to-economic-self-sufficiency-can-evs-break-pakistans-dependence-on-a-volatile-middle-east,The Electric Lane To Economic Self-Sufficiency: Can EVs Break Pakistan’s Dependence On A volatile Middle East?,2026-07-10,2026-07,2026,PIDE in Press,PIDE in Press,Ussama Bin Sajjad Kiyani,,,https://pide.org.pk/research/the-electric-lane-to-economic-self-sufficiency-can-evs-break-pakistans-dependence-on-a-volatile-middle-east/,,,,,,0
political-economy-and-policy-research-limits-of-political-conveniences,Political economy and policy research – limits of political conveniences,2026-07-10,2026-07,2026,PIDE in Press,PIDE in Press,Omer Siddique,,,https://pide.org.pk/research/political-economy-and-policy-research-limits-of-political-conveniences/,,,,,,0
the-green-test,The green test,2026-07-06,2026-07,2026,PIDE in Press,PIDE in Press,Saqib Ur Rehman Mughal,,,https://pide.org.pk/research/the-green-test/,,,,,,0
fragile-supply,Fragile supply,2026-07-06,2026-07,2026,PIDE in Press,PIDE in Press,Ajmal Kakar,,,https://pide.org.pk/research/fragile-supply/,,,,,,0
breaking-new-ground-in-governance,Breaking new ground in governance,2026-06-30,2026-06,2026,PIDE in Press,PIDE in Press,Nadeem Ahmed Khan,,,https://pide.org.pk/research/breaking-new-ground-in-governance/,,,,,,0
