slug,title,date,link,detail_status
pakistan-has-won-the-diplomacy-now-comes-the-harder-test,"Pakistan has won the diplomacy, now comes the harder test",2026-08-18T15:54:14,https://pide.org.pk/research/pakistan-has-won-the-diplomacy-now-comes-the-harder-test/,200
after-mecca-the-rise-of-a-new-middle-east-security-order-and-irans-strategic-dilemma,After Mecca: The rise of a new Middle East security order and Iran’s strategic dilemma,2026-08-18T15:52:54,https://pide.org.pk/research/after-mecca-the-rise-of-a-new-middle-east-security-order-and-irans-strategic-dilemma/,200
turning-waico-into-pakistans-ai-advantage,Turning WAICO into Pakistan’s AI advantage,2026-08-18T15:50:39,https://pide.org.pk/research/turning-waico-into-pakistans-ai-advantage/,200
what-china-understood-about-ports-that-pakistan-still-doesnt,What China Understood About Ports That Pakistan Still Doesn&#8217;t,2026-08-18T08:57:13,https://pide.org.pk/research/what-china-understood-about-ports-that-pakistan-still-doesnt/,200
manufacturing-batteries-locally,Manufacturing batteries locally,2026-08-17T13:46:38,https://pide.org.pk/research/manufacturing-batteries-locally/,200
issues-in-the-automobile-industry,Issues in the Automobile Industry,2026-08-17T11:50:05,https://pide.org.pk/research/issues-in-the-automobile-industry/,200
securitys-weakest-link,Security’s weakest link,2026-08-17T09:36:28,https://pide.org.pk/research/securitys-weakest-link/,200
five-years-on-taliban-has-territory-but-not-sovereignty,"Five years on, Taliban has territory but not sovereignty",2026-08-15T08:49:47,https://pide.org.pk/research/five-years-on-taliban-has-territory-but-not-sovereignty/,200
mineral-corridor-from-mines-to-manufacturing-i,‘Mineral Corridor’: from mines to manufacturing &#8211; I,2026-08-14T13:30:09,https://pide.org.pk/research/mineral-corridor-from-mines-to-manufacturing-i/,200
when-diplomacy-wears-a-uniform-asim-munirs-harder-test-after-the-makkah-defence-pact,When Diplomacy Wears a Uniform: Asim Munir’s Harder Test After the Makkah Defence Pact,2026-08-14T10:41:13,https://pide.org.pk/research/when-diplomacy-wears-a-uniform-asim-munirs-harder-test-after-the-makkah-defence-pact/,200
from-corridors-to-commerce,From Corridors to Commerce,2026-08-14T10:39:41,https://pide.org.pk/research/from-corridors-to-commerce/,200
gwadars-real-challenge-is-not-geography-its-shipping-lines,Gwadar&#8217;s real challenge is not geography—it’s shipping lines,2026-08-14T10:37:24,https://pide.org.pk/research/gwadars-real-challenge-is-not-geography-its-shipping-lines/,200
from-connectivity-to-competitiveness,From Connectivity To Competitiveness,2026-08-14T10:35:57,https://pide.org.pk/research/from-connectivity-to-competitiveness/,200
abraham-offered-normalisation-makkah-offers-security,Abraham offered normalisation. Makkah offers security,2026-08-14T10:34:36,https://pide.org.pk/research/abraham-offered-normalisation-makkah-offers-security/,200
pakistans-tomato-price-surge,Pakistan&#8217;s Tomato price surge,2026-08-14T10:32:36,https://pide.org.pk/research/pakistans-tomato-price-surge/,200
inclusion-before-enforcement,Inclusion before enforcement,2026-08-14T10:31:08,https://pide.org.pk/research/inclusion-before-enforcement/,200
india-china-thaw-is-a-supply-chain-truce-not-a-strategic-reset,"India-China thaw is a supply-chain truce, not a strategic reset",2026-08-10T15:51:09,https://pide.org.pk/research/india-china-thaw-is-a-supply-chain-truce-not-a-strategic-reset/,200
corporate-digital-leap,Corporate digital leap,2026-08-10T15:49:41,https://pide.org.pk/research/corporate-digital-leap/,200
the-generation-no-party-owns-what-indias-gen-z-revolt-could-become,The Generation No Party Owns: What India’s Gen Z Revolt Could Become,2026-08-10T15:45:25,https://pide.org.pk/research/the-generation-no-party-owns-what-indias-gen-z-revolt-could-become/,200
afghanistan-cannot-fight-hunger-while-sheltering-the-ttp,Afghanistan Cannot Fight Hunger While Sheltering the TTP,2026-08-10T15:44:17,https://pide.org.pk/research/afghanistan-cannot-fight-hunger-while-sheltering-the-ttp/,200
climate-disaster-risk-reduction,Climate disaster risk reduction,2026-08-10T15:39:13,https://pide.org.pk/research/climate-disaster-risk-reduction/,200
walking-the-tightrope-between-tehran-and-riyadh,Walking the tightrope between Tehran and Riyadh,2026-08-04T12:51:37,https://pide.org.pk/research/walking-the-tightrope-between-tehran-and-riyadh/,200
why-pakistan-must-rethink-decision-making,Why Pakistan must rethink decision-making,2026-08-04T12:49:28,https://pide.org.pk/research/why-pakistan-must-rethink-decision-making/,200
agriculture-waters-cycle-of-debt-and-poverty,Agriculture: Water’s cycle of debt and poverty,2026-08-04T12:26:29,https://pide.org.pk/research/agriculture-waters-cycle-of-debt-and-poverty/,200
the-economy-pakistan-forgot-to-measure,The economy Pakistan forgot to measure,2026-08-03T11:31:26,https://pide.org.pk/research/the-economy-pakistan-forgot-to-measure/,200
the-hidden-cost-of-a-litre,The hidden cost of a litre,2026-08-03T11:28:58,https://pide.org.pk/research/the-hidden-cost-of-a-litre/,200
promise-without-protection,Promise without protection,2026-07-30T16:10:27,https://pide.org.pk/research/promise-without-protection/,200
beyond-a-muslim-nato-pakistan-and-the-middle-easts-emerging-security-order,Beyond a ‘Muslim NATO’: Pakistan and the Middle East’s Emerging Security Order,2026-07-30T13:31:37,https://pide.org.pk/research/beyond-a-muslim-nato-pakistan-and-the-middle-easts-emerging-security-order/,200
pakistans-fintech-landscape,Pakistan’s fintech landscape,2026-07-30T13:29:07,https://pide.org.pk/research/pakistans-fintech-landscape/,200
from-dust-to-dollars,From Dust to Dollars,2026-07-29T12:30:31,https://pide.org.pk/research/from-dust-to-dollars/,200
ai-enabled-public-governance,AI-enabled public governance,2026-07-28T12:00:18,https://pide.org.pk/research/ai-enabled-public-governance/,200
from-colombo-to-islamabad-a-generation-judges-governments-by-results-not-rhetoric,"From Colombo To Islamabad: A Generation Judges Governments By Results, Not Rhetoric",2026-07-28T10:12:28,https://pide.org.pk/research/from-colombo-to-islamabad-a-generation-judges-governments-by-results-not-rhetoric/,200
u-s-iran-truce-under-pressure-as-fresh-attacks-fuel-fears-of-wider-gulf-conflict,U.S.–Iran Truce Under Pressure as Fresh Attacks Fuel Fears of Wider Gulf Conflict,2026-07-28T10:10:53,https://pide.org.pk/research/u-s-iran-truce-under-pressure-as-fresh-attacks-fuel-fears-of-wider-gulf-conflict/,200
managing-population,Managing population,2026-07-28T09:47:11,https://pide.org.pk/research/managing-population/,200
cpec-2-0-and-pakistans-digital-future-from-infrastructure-to-innovation,CPEC 2.0 and Pakistan’s digital future: From infrastructure to innovation,2026-07-28T09:45:58,https://pide.org.pk/research/cpec-2-0-and-pakistans-digital-future-from-infrastructure-to-innovation/,200
pakistans-only-choice-is-active-neutrality-in-us-iran-war,Pakistan’s only choice is active neutrality in US-Iran war,2026-07-28T09:34:27,https://pide.org.pk/research/pakistans-only-choice-is-active-neutrality-in-us-iran-war/,200
protection-for-small-savers-flexibility-for-large-deposits,"Protection for small savers, flexibility for large deposits",2026-07-22T09:59:35,https://pide.org.pk/research/protection-for-small-savers-flexibility-for-large-deposits/,200
unaccounted-gas-unacceptable-losses,"Unaccounted Gas, Unacceptable Losses",2026-07-21T08:48:27,https://pide.org.pk/research/unaccounted-gas-unacceptable-losses/,200
a-changing-role-of-cpec-2-0-in-pakistans-financial-and-external-sectors,A changing role of CPEC 2.0 in Pakistan’s financial and external sectors,2026-07-20T09:23:23,https://pide.org.pk/research/a-changing-role-of-cpec-2-0-in-pakistans-financial-and-external-sectors/,200
the-hormuz-trap,The Hormuz trap,2026-07-17T09:55:39,https://pide.org.pk/research/the-hormuz-trap/,200
column-bridging-great-governance-gap-for-shared-prosperity-in-interconnected-world,Column: Bridging great governance gap for shared prosperity in interconnected world,2026-07-17T09:49:02,https://pide.org.pk/research/column-bridging-great-governance-gap-for-shared-prosperity-in-interconnected-world/,200
the-real-imf-strategy-lies-in-production-not-financing,"The Real IMF Strategy Lies in Production, Not Financing",2026-07-16T12:16:52,https://pide.org.pk/research/the-real-imf-strategy-lies-in-production-not-financing/,200
from-lng-to-thar-rethinking-pakistans-energy-transition,From LNG to Thar: rethinking Pakistan’s energy transition,2026-07-15T16:27:03,https://pide.org.pk/research/from-lng-to-thar-rethinking-pakistans-energy-transition/,200
corporate-window-ifrs-exemption-for-energy-soes,CORPORATE WINDOW: IFRS exemption for energy SOEs,2026-07-14T09:51:10,https://pide.org.pk/research/corporate-window-ifrs-exemption-for-energy-soes/,200
pide-in-press,PIDE in Press,2026-07-14T09:18:27,https://pide.org.pk/research/pide-in-press/,200
saving-less-growing-less,"Saving less, growing less",2026-07-14T09:16:33,https://pide.org.pk/research/saving-less-growing-less/,200
chasing-100bn-exports,Chasing $100bn exports,2026-07-14T09:10:04,https://pide.org.pk/research/chasing-100bn-exports/,200
sovereignty-doesnt-end-at-the-rivers-edge,Sovereignty doesn&#8217;t end at the river&#8217;s edge,2026-07-11T09:07:26,https://pide.org.pk/research/sovereignty-doesnt-end-at-the-rivers-edge/,200
political-economy-and-policy-research-limits-of-political-conveniences,Political economy and policy research – limits of political conveniences,2026-07-10T09:42:23,https://pide.org.pk/research/political-economy-and-policy-research-limits-of-political-conveniences/,200
the-electric-lane-to-economic-self-sufficiency-can-evs-break-pakistans-dependence-on-a-volatile-middle-east,The Electric Lane To Economic Self-Sufficiency: Can EVs Break Pakistan&#8217;s Dependence On A volatile Middle East?,2026-07-10T09:40:00,https://pide.org.pk/research/the-electric-lane-to-economic-self-sufficiency-can-evs-break-pakistans-dependence-on-a-volatile-middle-east/,200
fragile-supply,Fragile supply,2026-07-06T15:27:55,https://pide.org.pk/research/fragile-supply/,200
the-green-test,The green test,2026-07-06T10:08:40,https://pide.org.pk/research/the-green-test/,200
breaking-new-ground-in-governance,Breaking new ground in governance,2026-06-30T11:27:38,https://pide.org.pk/research/breaking-new-ground-in-governance/,200
the-cost-of-stability-in-pakistans-provincial-finances,The Cost Of Stability In Pakistan&#8217;s Provincial Finances,2026-06-29T10:08:06,https://pide.org.pk/research/the-cost-of-stability-in-pakistans-provincial-finances/,200
the-solar-paradox,The solar paradox,2026-06-29T09:34:02,https://pide.org.pk/research/the-solar-paradox/,200
no-royal-road-to-growth,No royal road to growth,2026-06-29T09:32:39,https://pide.org.pk/research/no-royal-road-to-growth/,200
from-green-levies-to-green-corridors,From green levies to green corridors,2026-06-25T14:49:14,https://pide.org.pk/research/from-green-levies-to-green-corridors/,200
from-mediation-to-markets-cpec-2-0-westward-opportunity,From mediation to markets: CPEC 2.0 westward opportunity,2026-06-24T16:24:06,https://pide.org.pk/research/from-mediation-to-markets-cpec-2-0-westward-opportunity/,200
the-system-is-unwell,The system is unwell,2026-06-24T16:22:53,https://pide.org.pk/research/the-system-is-unwell/,200
arithmetic-of-neglect,Arithmetic of neglect,2026-06-22T08:57:32,https://pide.org.pk/research/arithmetic-of-neglect/,200
the-game-finds-a-way-how-net-cricket-is-reviving-urban-youth,The Game Finds A Way: How Net Cricket Is Reviving Urban Youth,2026-06-22T08:55:32,https://pide.org.pk/research/the-game-finds-a-way-how-net-cricket-is-reviving-urban-youth/,200
why-pakistan-needs-credible-minimum-wage-system,Why Pakistan needs credible minimum wage system,2026-06-18T09:14:13,https://pide.org.pk/research/why-pakistan-needs-credible-minimum-wage-system/,200
industrial-policy-with-teeth,Industrial policy with teeth,2026-06-18T09:13:05,https://pide.org.pk/research/industrial-policy-with-teeth/,200
how-to-build-pakistans-energy-resilience-against-another-crisis,How to build Pakistan’s energy resilience against another crisis?,2026-06-18T09:00:53,https://pide.org.pk/research/how-to-build-pakistans-energy-resilience-against-another-crisis/,200
post-budget-the-human-capital-leak,Post-budget: the human capital leak,2026-06-17T09:15:55,https://pide.org.pk/research/post-budget-the-human-capital-leak/,200
what-budget-2026-27-reveals-about-cpec-2-0s-green-corridor,What Budget 2026–27 reveals about CPEC 2.0’s Green Corridor,2026-06-17T09:06:47,https://pide.org.pk/research/what-budget-2026-27-reveals-about-cpec-2-0s-green-corridor/,200
breaking-the-ice-the-pakistan%e2%80%91bangladesh-economic-thaw,Breaking the Ice: The Pakistan‑Bangladesh Economic Thaw,2026-06-15T14:41:42,https://pide.org.pk/research/breaking-the-ice-the-pakistan%e2%80%91bangladesh-economic-thaw/,200
pakistans-lng-lifeline-and-the-fragility-of-hormuz,Pakistan’s LNG Lifeline And The Fragility Of Hormuz,2026-06-15T14:39:23,https://pide.org.pk/research/pakistans-lng-lifeline-and-the-fragility-of-hormuz/,200
dwindling-savings,Dwindling savings,2026-06-10T10:26:21,https://pide.org.pk/research/dwindling-savings/,200
minimum-wage,Minimum wage,2026-06-10T10:12:28,https://pide.org.pk/research/minimum-wage/,200
the-missing-budget-debate-pakistans-savings-collapse,The missing budget debate: Pakistan’s savings collapse,2026-06-10T10:05:47,https://pide.org.pk/research/the-missing-budget-debate-pakistans-savings-collapse/,200
column-the-triple-shocks-and-asias-response,Column: The Triple Shocks and Asia&#8217;s response,2026-06-04T15:56:18,https://pide.org.pk/research/column-the-triple-shocks-and-asias-response/,200
labour-in-the-shadows,Labour in the Shadows,2026-06-04T15:04:03,https://pide.org.pk/research/labour-in-the-shadows/,200
time-to-insure-pakistans-farmers-against-climate-shocks,Time To Insure Pakistan&#8217;s Farmers Against Climate Shocks,2026-06-04T14:58:35,https://pide.org.pk/research/time-to-insure-pakistans-farmers-against-climate-shocks/,200
from-crisis-management-to-real-reform,From crisis management to real reform,2026-06-04T14:55:58,https://pide.org.pk/research/from-crisis-management-to-real-reform/,200
the-cost-of-underinvestment,The cost of underinvestment,2026-06-02T13:14:39,https://pide.org.pk/research/the-cost-of-underinvestment/,200
to-christopher-columbus,To Christopher Columbus,2026-06-02T10:23:00,https://pide.org.pk/research/to-christopher-columbus/,200
pdl-predicament,PDL predicament,2026-06-02T10:19:54,https://pide.org.pk/research/pdl-predicament/,200
qurbani-economics-what-eid-al-adha-does-for-pakistans-rural-heartland,Qurbani Economics: What Eid Al-Adha Does For Pakistan&#8217;s Rural Heartland,2026-05-28T10:26:18,https://pide.org.pk/research/qurbani-economics-what-eid-al-adha-does-for-pakistans-rural-heartland/,200
wars-abroad-poverty-at-home-how-global-conflict-threatens-pakistans-most-vulnerable,"Wars Abroad, Poverty At Home: How Global Conflict Threatens Pakistan’s Most Vulnerable",2026-05-27T10:25:04,https://pide.org.pk/research/wars-abroad-poverty-at-home-how-global-conflict-threatens-pakistans-most-vulnerable/,200
pakistans-accidental-energy-revolution,Pakistan’s accidental energy revolution,2026-05-21T15:21:00,https://pide.org.pk/research/pakistans-accidental-energy-revolution/,200
gwadar-and-geopolitical-arbitrage,Gwadar and geopolitical arbitrage,2026-05-20T10:04:34,https://pide.org.pk/research/gwadar-and-geopolitical-arbitrage/,200
trade-corridors-geo-political-risks-and-new-options-for-pakistan,"Trade Corridors, Geo Political Risks and New Options for Pakistan",2026-05-19T14:29:10,https://pide.org.pk/research/trade-corridors-geo-political-risks-and-new-options-for-pakistan/,200
from-hormuz-to-islamabad-why-pakistan-must-prepare-for-the-next-shock,From Hormuz to Islamabad: Why Pakistan must prepare for the next shock,2026-05-19T14:27:17,https://pide.org.pk/research/from-hormuz-to-islamabad-why-pakistan-must-prepare-for-the-next-shock/,200
why-reforms-fail-to-take-root-in-pakistan,Why reforms fail to take root in Pakistan,2026-05-13T11:40:57,https://pide.org.pk/research/why-reforms-fail-to-take-root-in-pakistan/,200
our-blue-ink-economy,Our blue-ink economy,2026-05-13T11:22:30,https://pide.org.pk/research/our-blue-ink-economy/,200
how-middle-east-instability-is-rewriting-global-shipping-routes,How Middle East Instability Is Rewriting Global Shipping Routes,2026-05-13T11:04:16,https://pide.org.pk/research/how-middle-east-instability-is-rewriting-global-shipping-routes/,200
pakistans-accidental-energy-revolution-2,Pakistan&#8217;s Accidental Energy Revolution,2026-05-13T09:08:17,https://pide.org.pk/research/pakistans-accidental-energy-revolution-2/,200
after-the-rate-hike-why-psx-firms-and-businesses-need-policy-pause,"After the rate hike, why PSX firms and businesses need policy pause",2026-05-12T10:50:19,https://pide.org.pk/research/after-the-rate-hike-why-psx-firms-and-businesses-need-policy-pause/,200
the-skills-challenge,The skills challenge,2026-05-12T10:48:15,https://pide.org.pk/research/the-skills-challenge/,200
pakistans-role-as-bridge-between-rivals-in-a-fragmented-world,Pakistan’s Role As Bridge Between Rivals In A Fragmented World,2026-05-11T15:35:46,https://pide.org.pk/research/pakistans-role-as-bridge-between-rivals-in-a-fragmented-world/,200
the-hormuz-fallout,The Hormuz fallout,2026-05-11T09:36:17,https://pide.org.pk/research/the-hormuz-fallout/,200
why-monetary-tightening-is-not-the-right-response-to-energy-driven-inflation-in-pakistan,Why Monetary Tightening Is Not The Right Response To Energy-Driven Inflation In Pakistan,2026-05-06T15:36:06,https://pide.org.pk/research/why-monetary-tightening-is-not-the-right-response-to-energy-driven-inflation-in-pakistan/,200
small-firms-big-role,"Small firms, big role",2026-05-05T15:21:57,https://pide.org.pk/research/small-firms-big-role/,200
from-hormuz-to-cpec-reimagining-pakistans-energy-security,From Hormuz to CPEC: Reimagining Pakistan’s Energy Security,2026-05-04T09:09:56,https://pide.org.pk/research/from-hormuz-to-cpec-reimagining-pakistans-energy-security/,200
how-modern-conflicts-are-accelerating-the-climate-crisis,How Modern Conflicts Are Accelerating The Climate Crisis,2026-05-02T16:05:55,https://pide.org.pk/research/how-modern-conflicts-are-accelerating-the-climate-crisis/,200
geopolitical-tensions-and-investor-resilience,Geopolitical tensions and investor resilience,2026-04-30T10:49:38,https://pide.org.pk/research/geopolitical-tensions-and-investor-resilience/,200
beyond-the-strait-of-hormuz-pakistans-untapped-maritime-advantage,Beyond The Strait Of Hormuz: Pakistan’s Untapped Maritime Advantage,2026-04-29T13:15:14,https://pide.org.pk/research/beyond-the-strait-of-hormuz-pakistans-untapped-maritime-advantage/,200
why-the-pashtun-jirga-still-commands-trust,Why The Pashtun Jirga Still Commands Trust,2026-04-27T17:47:31,https://pide.org.pk/research/why-the-pashtun-jirga-still-commands-trust/,200
breaking-the-ivory-tower,Breaking the ivory tower,2026-04-27T16:16:16,https://pide.org.pk/research/breaking-the-ivory-tower/,200
what-china-taught-me-about-plans,What China taught me about plans,2026-04-27T16:12:05,https://pide.org.pk/research/what-china-taught-me-about-plans/,200
middle-east-crisis-impact-on-pakistans-trade,Middle East Crisis Impact On Pakistan’s Trade,2026-04-26T10:53:48,https://pide.org.pk/research/middle-east-crisis-impact-on-pakistans-trade/,200
the-politics-of-prices-in-times-of-external-conflict,The Politics Of Prices In Times Of External Conflict,2026-04-22T12:24:31,https://pide.org.pk/research/the-politics-of-prices-in-times-of-external-conflict/,200
digital-inclusion-challenges-for-inclusive-digitalization-in-pakistan,Digital inclusion: challenges for inclusive digitalization in Pakistan,2026-04-20T11:55:44,https://pide.org.pk/research/digital-inclusion-challenges-for-inclusive-digitalization-in-pakistan/,200
securing-market-diversification-through-cpec-2-0,Securing Market Diversification Through CPEC 2.0,2026-04-16T15:35:28,https://pide.org.pk/research/securing-market-diversification-through-cpec-2-0/,200
fuel-crisis-response-is-working-now-policy-must-protect-households,"Fuel crisis response is working, now policy must protect households",2026-04-15T14:48:56,https://pide.org.pk/research/fuel-crisis-response-is-working-now-policy-must-protect-households/,200
a-nation-under-two-pressures,A nation under two pressures,2026-04-13T16:03:27,https://pide.org.pk/research/a-nation-under-two-pressures/,200
the-myth-of-austerity,The myth of austerity,2026-04-13T16:01:33,https://pide.org.pk/research/the-myth-of-austerity/,200
the-petrodollar-era-faces-a-quiet-but-defining-shift,The Petrodollar Era Faces A Quiet But Defining Shift,2026-04-08T09:52:15,https://pide.org.pk/research/the-petrodollar-era-faces-a-quiet-but-defining-shift/,200
how-to-protect-pakistans-trade-after-the-me-conflict,How to protect Pakistan’s trade after the ME conflict,2026-04-07T14:44:25,https://pide.org.pk/research/how-to-protect-pakistans-trade-after-the-me-conflict/,200
clean-ports-strong-economy-fight-for-transparency-in-maritime-sector,"Clean ports, strong economy: fight for transparency in maritime sector",2026-04-06T09:35:11,https://pide.org.pk/research/clean-ports-strong-economy-fight-for-transparency-in-maritime-sector/,200
pakistans-energy-dependence-is-now-a-strategic-liability,Pakistan’s Energy Dependence Is Now A Strategic Liability,2026-04-06T09:33:18,https://pide.org.pk/research/pakistans-energy-dependence-is-now-a-strategic-liability/,200
energy-shocks-food-security-and-cpec-2-0,"Energy shocks, food security and CPEC 2.0",2026-03-30T09:45:35,https://pide.org.pk/research/energy-shocks-food-security-and-cpec-2-0/,200
doctoral-reboot,Doctoral reboot,2026-03-30T09:41:40,https://pide.org.pk/research/doctoral-reboot/,200
gulf-instability-and-remittances-risk,Gulf instability and remittances’ risk,2026-03-30T09:39:22,https://pide.org.pk/research/gulf-instability-and-remittances-risk/,200
wheat-pricing-puzzle-2026,Wheat pricing puzzle 2026,2026-03-27T15:17:33,https://pide.org.pk/research/wheat-pricing-puzzle-2026/,200
austerity-in-times-of-crisis,Austerity in times of crisis,2026-03-26T15:20:13,https://pide.org.pk/research/austerity-in-times-of-crisis/,200
stability-without-growth-imf-programmes-and-policy-challenges-for-pakistan,Stability without growth: IMF programmes and policy challenges for Pakistan,2026-03-23T09:37:28,https://pide.org.pk/research/stability-without-growth-imf-programmes-and-policy-challenges-for-pakistan/,200
reels-and-buffets,Reels and buffets,2026-03-23T09:34:49,https://pide.org.pk/research/reels-and-buffets/,200
corporate-window-a-lifeline-under-strain,CORPORATE WINDOW: A lifeline under strain,2026-03-23T09:32:29,https://pide.org.pk/research/corporate-window-a-lifeline-under-strain/,200
the-cost-of-waiting-pakistans-decarbonisation-dilemma,The cost of waiting: Pakistan’s decarbonisation dilemma,2026-03-19T09:39:37,https://pide.org.pk/research/the-cost-of-waiting-pakistans-decarbonisation-dilemma/,200
hormuz-closure-could-triple-pakistans-oil-bill-push-inflation-to-15pc-17pc,"Hormuz closure could triple Pakistan’s oil bill, push inflation to 15pc-17pc",2026-03-18T09:46:22,https://pide.org.pk/research/hormuz-closure-could-triple-pakistans-oil-bill-push-inflation-to-15pc-17pc/,200
pakistans-economic-paradox,Pakistan&#8217;s economic paradox,2026-03-17T11:49:53,https://pide.org.pk/research/pakistans-economic-paradox/,200
caught-in-the-gulf-crosswinds,Caught in the Gulf crosswinds,2026-03-16T14:14:59,https://pide.org.pk/research/caught-in-the-gulf-crosswinds/,200
the-double-standard-in-our-war-on-tax-evasion,The double standard in our war on tax evasion,2026-03-12T11:42:06,https://pide.org.pk/research/the-double-standard-in-our-war-on-tax-evasion/,200
ramadan-and-the-rhythm-of-prices,Ramadan and the Rhythm of Prices,2026-03-10T09:41:53,https://pide.org.pk/research/ramadan-and-the-rhythm-of-prices/,200
possible-impacts-of-iran-war,Possible impacts of Iran war,2026-03-09T08:47:24,https://pide.org.pk/research/possible-impacts-of-iran-war/,200
gold-market-crash-is-now-the-right-time-to-buy,Gold market crash: Is now the right time to buy?,2026-03-06T10:52:02,https://pide.org.pk/research/gold-market-crash-is-now-the-right-time-to-buy/,200
ai-revolution-pakistans-youth-dilemma,AI revolution: Pakistan’s youth dilemma,2026-03-05T11:09:45,https://pide.org.pk/research/ai-revolution-pakistans-youth-dilemma/,200
the-execution-gap,The execution gap,2026-03-04T11:06:57,https://pide.org.pk/research/the-execution-gap/,200
a-tough-test-for-textiles,A tough test for textiles?,2026-03-02T11:31:51,https://pide.org.pk/research/a-tough-test-for-textiles/,200
the-war-premium-week,The War Premium Week,2026-03-02T09:10:29,https://pide.org.pk/research/the-war-premium-week/,200
worsening-smog-in-pakistan-demands-sustainable-policies-and-effective-emission-control,Worsening Smog In Pakistan Demands Sustainable Policies And Effective Emission Control,2026-02-25T13:03:27,https://pide.org.pk/research/worsening-smog-in-pakistan-demands-sustainable-policies-and-effective-emission-control/,200
pide-transformation,PIDE transformation,2026-02-25T13:02:27,https://pide.org.pk/research/pide-transformation/,200
taming-oil-volatility,Taming oil volatility,2026-02-25T08:47:54,https://pide.org.pk/research/taming-oil-volatility/,200
theres-need-to-bring-shadow-economy-into-tax-net,There’s need to bring shadow economy into tax net,2026-02-24T13:49:34,https://pide.org.pk/research/theres-need-to-bring-shadow-economy-into-tax-net/,200
why-pakistan-must-embrace-the-gig-economy,Why Pakistan must embrace the gig economy,2026-02-24T13:40:25,https://pide.org.pk/research/why-pakistan-must-embrace-the-gig-economy/,200
pakistans-growing-graveyard-shortage-threatens-cities-and-communities,Pakistan’s Growing Graveyard Shortage Threatens Cities And Communities,2026-02-20T09:14:52,https://pide.org.pk/research/pakistans-growing-graveyard-shortage-threatens-cities-and-communities/,200
everything-wrong-with-pakistans-real-estate-structure,Everything Wrong with Pakistan’s Real Estate Structure,2026-02-19T12:40:27,https://pide.org.pk/research/everything-wrong-with-pakistans-real-estate-structure/,200
pak-afghan-ties,Pak-Afghan ties,2026-02-18T08:48:43,https://pide.org.pk/research/pak-afghan-ties/,200
a-9bn-question-on-trade,A $9bn question on trade,2026-02-16T14:09:10,https://pide.org.pk/research/a-9bn-question-on-trade/,200
the-nudge-of-tariffs-what-pakistan-can-no-longer-ignore,The nudge of tariffs: what Pakistan can no longer ignore,2026-02-10T15:38:01,https://pide.org.pk/research/the-nudge-of-tariffs-what-pakistan-can-no-longer-ignore/,200
opinion-pakistani-agricultural-sector-is-one-of-the-most-wasteful-water-users-on-the-planet,OPINION: Pakistani agricultural sector is one of the most wasteful water users on the planet,2026-01-30T15:42:54,https://pide.org.pk/research/opinion-pakistani-agricultural-sector-is-one-of-the-most-wasteful-water-users-on-the-planet/,200
opinion-from-solar-subsidy-to-system-stress-rethinking-net-metering-in-pakistan,OPINION: From solar subsidy to system stress: rethinking net metering in Pakistan,2026-01-26T16:13:11,https://pide.org.pk/research/opinion-from-solar-subsidy-to-system-stress-rethinking-net-metering-in-pakistan/,200
the-investment-drain,The investment drain,2026-01-26T13:58:34,https://pide.org.pk/research/the-investment-drain/,200
reading-the-fine-print,Reading the fine print,2026-01-26T13:57:20,https://pide.org.pk/research/reading-the-fine-print/,200
